,Weight_AMXB.MX,Weight_AXIA3.SA,Weight_BBAS3.SA,Weight_BIMBOA.MX,Weight_BSAC,Weight_CEMEXCPO.MX,Weight_CENCOSUD.SN,Weight_CIB,Weight_FEMSAUBD.MX,Weight_GCARSOA1.MX,Weight_GGB,Weight_ISA.CL,Weight_PAC,Weight_PBR,Weight_RENT3.SA,Weight_SCCO,Weight_SQM,Weight_VALE,Weight_VIV,Weight_WALMEX.MX,Weight_WEGE3.SA,daily_ret
2025-05-02,0.035409536212682724,1.5496463674935512e-05,0.00031903607305139303,0.39395686984062195,0.0009457100532017648,6.374245276674628e-05,0.023988161236047745,0.025598835200071335,0.00898057408630848,0.11811438947916031,0.003975840285420418,0.1393083781003952,0.0298391655087471,2.434908128634561e-05,0.0031005314085632563,0.10031183063983917,0.0031731310300529003,0.0009658900089561939,0.00011236471618758515,0.0002540997229516506,0.11154207587242126,0.0013278987524353878
2025-05-05,0.05099282041192055,1.6214235074585304e-05,0.000400780321797356,0.31377968192100525,0.0011079092510044575,6.926374044269323e-05,0.023873766884207726,0.020749568939208984,0.009351293556392193,0.11711280047893524,0.003041287185624242,0.16054552793502808,0.03938533365726471,2.5643630578997545e-05,0.004242742899805307,0.14630413055419922,0.0031569646671414375,0.0007704502204433084,9.242509258911014e-05,0.0002784324751701206,0.1047028973698616,0.0060637875298614535
2025-05-06,0.07368055731058121,1.5898684068815783e-05,0.00039631855906918645,0.2724434435367584,0.0010448262328281999,6.898042920511216e-05,0.026058584451675415,0.014355341903865337,0.007717413362115622,0.12016608566045761,0.0018388123717159033,0.15060968697071075,0.036862824112176895,2.522993781894911e-05,0.003961913753300905,0.1921820044517517,0.0023431747686117887,0.0004725100880023092,6.791364285163581e-05,0.00026204914320260286,0.09542632102966309,-0.0016859393588771635
2025-05-07,0.09257101267576218,1.5425268429680727e-05,0.0003702244721353054,0.2644617557525635,0.0009520486346445978,6.666223634965718e-05,0.029936376959085464,0.01072518527507782,0.006412804592400789,0.12589766085147858,0.0012107091024518013,0.13022629916667938,0.030248844996094704,2.4443907022941858e-05,0.0032602334395051003,0.21208618581295013,0.0017871548188850284,0.000320754770655185,5.54689067939762e-05,0.0002453243941999972,0.08912549912929535,0.010247256934531383
2025-05-08,0.11281601339578629,1.5011564755695872e-05,0.0003594346926547587,0.2654391825199127,0.0008887232397682965,6.403098814189434e-05,0.035497166216373444,0.00799224991351366,0.005475045181810856,0.1326204091310501,0.0007911957800388336,0.10760252922773361,0.02365347370505333,2.365424188610632e-05,0.002618617843836546,0.2201821357011795,0.0014244118938222528,0.00022598869691137224,4.8125464672921225e-05,0.00024045363534241915,0.08202214539051056,0.001575914842448698
2025-05-09,0.12471591681241989,1.458960377931362e-05,0.00033772672759369016,0.28302955627441406,0.0008135066600516438,6.081855099182576e-05,0.04148837924003601,0.0064268638379871845,0.0047229500487446785,0.138899564743042,0.0005792605807073414,0.086408831179142,0.01804393343627453,2.2826936401543207e-05,0.0020438588690012693,0.21268707513809204,0.001178667414933443,0.0001752780081005767,4.460576383280568e-05,0.00023604051966685802,0.07806973159313202,0.0012650886449316178
2025-05-12,0.12194937467575073,1.4169070709613152e-05,0.00029992673080414534,0.3091942071914673,0.0007245677406899631,5.7878674851963297e-05,0.04464017599821091,0.0060015348717570305,0.00413376372307539,0.14255787432193756,0.0005258862511254847,0.07472985982894897,0.014754924923181534,2.2114523744676262e-05,0.0016662796260789037,0.1983328014612198,0.0010290909558534622,0.0001583796547492966,4.3097792513435706e-05,0.00022269351757131517,0.07894136011600494,0.007977057259231937
2025-05-13,0.11205685138702393,1.3749985555477906e-05,0.00026321131736040115,0.34202390909194946,0.0006430098437704146,5.5081512982724234e-05,0.04655490070581436,0.005956253502517939,0.003650351893156767,0.14521031081676483,0.0005216069403104484,0.06672637909650803,0.012332257814705372,2.14449883060297e-05,0.0013880623737350106,0.17954523861408234,0.0009324784623458982,0.00015462981536984444,4.296598126529716e-05,0.00020784710068255663,0.08169952034950256,-0.005959420926950918
2025-05-14,0.09683828800916672,1.3487530850397889e-05,0.00023899540246929973,0.37819579243659973,0.0005891024484299123,5.321404023561627e-05,0.0462675616145134,0.006430995650589466,0.0034116506576538086,0.14561523497104645,0.0005795444012619555,0.06338922679424286,0.01108022965490818,2.10448051802814e-05,0.0012458993587642908,0.1589546799659729,0.0009201013599522412,0.00017011264571920037,4.558510772767477e-05,0.00019866465299855918,0.08574054390192032,0.00846588059365995
2025-05-15,0.07887013256549835,1.3326415682968218e-05,0.00022267807798925787,0.41516950726509094,0.0005536891985684633,5.205807974562049e-05,0.043398045003414154,0.007522204890847206,0.003357734065502882,0.1428774744272232,0.0007181311957538128,0.06388654559850693,0.01072245929390192,2.0825145838898607e-05,0.0012020582798868418,0.13906657695770264,0.000975841365288943,0.00020884862169623375,5.08230623381678e-05,0.00019295061065349728,0.09091811627149582,0.0026958534438957338
2025-05-16,0.06222859397530556,1.3309308997122571e-05,0.00021522479073610157,0.4443579912185669,0.0005418940563686192,5.18697161169257e-05,0.03835267573595047,0.00940324179828167,0.00348478346131742,0.1369268000125885,0.0009817674290388823,0.06856817752122879,0.01139878574758768,2.086339554807637e-05,0.001267969491891563,0.12366467714309692,0.001106692710891366,0.00028158174245618284,5.819179204991087e-05,0.00019131007138639688,0.096883624792099,-0.004505095375283174
2025-05-19,0.05206537991762161,1.3594716619991232e-05,0.00022203795379027724,0.45181047916412354,0.0005696954904124141,5.33724160050042e-05,0.033238913863897324,0.011894126422703266,0.0038408664986491203,0.1301015168428421,0.0013814275152981281,0.07770410925149918,0.013523435220122337,2.1406018277048133e-05,0.0014852649765089154,0.11777999997138977,0.0013163854600861669,0.00038644211599603295,6.595787272090092e-05,0.0001978789223358035,0.10232774168252945,0.012281257628538395
2025-05-20,0.05012357980012894,1.4146681678539608e-05,0.0002430292806820944,0.4360337257385254,0.0006240042275749147,5.613801840809174e-05,0.03052365407347679,0.013685133308172226,0.004257422871887684,0.12703116238117218,0.0016987122362479568,0.08827754855155945,0.016274837777018547,2.2343450837070122e-05,0.00178301811683923,0.12230176478624344,0.0015192257706075907,0.00046975104487501085,7.099725917214528e-05,0.0002117268304573372,0.10477811098098755,0.00866329618490833
2025-05-21,0.05070803686976433,1.4950512195355259e-05,0.0002822397218551487,0.40511202812194824,0.0007178186788223684,6.0316680901451036e-05,0.02807556837797165,0.015498436987400055,0.004922284744679928,0.1245623379945755,0.0020458700601011515,0.10399286448955536,0.02068289928138256,2.3671947928960435e-05,0.0022781933657824993,0.13255421817302704,0.001814160612411797,0.000566108908969909,7.64858050388284e-05,0.00023423005768563598,0.1057773306965828,-0.003099084623222743
2025-05-22,0.055314239114522934,1.5804864233359694e-05,0.00033726030960679054,0.3598538041114807,0.0008384715183638036,6.513898551929742e-05,0.026168037205934525,0.016400305554270744,0.005719196517020464,0.12238527834415436,0.0022405176423490047,0.12269218266010284,0.02663179114460945,2.5070239644264802e-05,0.0029573224019259214,0.15126657485961914,0.002119403099641204,0.0006257001077756286,7.900593482190743e-05,0.0002607274509500712,0.10400417447090149,0.005440793062387744
